id;nom;prenoms;Genre;nomproduit;categorie;prixunitaire;dateachat
652;Sankoh;Amara;Male;Démaquillant pour les yeux Nivea;Produits de démaquillage;1200;2022-09-09 11:57:00.0000000
653;Lopez;Angela;Female;Lingettes démaquillantes Nivea;Produits de démaquillage;800;2022-12-17 03:18:00.0000000
654;Diallo;Fanta;Female;Crème réparatrice pour les mains Neutrogena;Produits de soin pour les mains;1000;2022-03-29 11:37:00.0000000
655;Johnson;Ashley;Female;Terrine de chevreuil;Charcuterie;1700;2022-03-04 10:10:00.0000000
656;Onyeama;Ngozi;Female;Pâté de lapin aux noisettes;Charcuterie;1800;2022-01-24 01:33:00.0000000
657;Morris;Victoria;Female;Jambon fumé;Charcuterie;1400;2022-10-15 12:02:00.0000000
658;Sanders;Theresa;Female;Jambon d'Auvergne;Charcuterie;2000;2022-06-13 07:55:00.0000000
659;Ibrahim;Aisha;Female;Saucisse de Montbéliard;Charcuterie;1900;2022-11-28 05:07:00.0000000
660;Camara;Oumar;Male;Terrine de lapin;Charcuterie;1600;2022-09-14 05:35:00.0000000
661;Barnes;Samantha;Female;Rillettes de truite;Charcuterie;1500;2022-01-09 15:03:00.0000000
662;Parker;Wanda;Female;Boudin noir;Charcuterie;1500;2022-12-29 21:52:00.0000000
663;Diop;Sekou;Male;Terrine de biche;Charcuterie;1700;2022-04-13 01:46:00.0000000
664;King;Harper;Female;Rillettes d'oie;Charcuterie;1500;2022-06-01 09:53:00.0000000
665;Nkrumah;Jabari;Male;Crème réparatrice pour les mains Neutrogena;Produits de soin pour les mains;1000;2022-12-19 21:04:00.0000000
666;Nkrumah;Fatima;Female;Paquet de cacahuètes;Snack;750;2022-11-02 23:40:00.0000000
667;Nelson;Philip;Male;Sachet de thé Lipton;Thé;500;2022-06-08 20:53:00.0000000
668;Abubakar;Musa;Male;Gel nettoyant visage doux Nivea;Produits de soin pour le visage;1800;2022-12-08 21:54:00.0000000
669;Ba;Adama;Female;Pâté de lapin aux noisettes;Charcuterie;1800;2022-01-09 03:33:00.0000000
670;Ibrahim;Fatimah;Female;Paquet de spaghetti;Alimentation;750;2022-11-30 16:03:00.0000000
671;Jones;Daniel;Male;Paquet de lentilles;Alimentation;750;2022-04-12 11:42:00.0000000
672;Onyeama;Ngozi;Female;Boîte de mouchoirs en papier Lotus;Hygiène;1000;2022-12-29 21:34:00.0000000
673;Boateng;Adjoa;Female;Dentifrice bio Logodent;Produits d'hygiène dentaire;500;2022-01-13 14:10:00.0000000
674;Martinez;Maria;Female;Bouteille de sirop de grenadine;Boisson;750;2022-08-08 00:53:00.0000000
675;Boateng;Kwaku;Male;Gel nettoyant visage purifiant L'Oréal;Produits de soin pour le visage;1800;2022-10-18 11:58:00.0000000
676;Okoro;Chinedu;Male;Rosette;Charcuterie;1800;2022-12-17 11:37:00.0000000
677;Moyo;Simba;Male;Soin liftant contour des yeux L'Oréal;Produits de soin pour le visage;2500;2022-12-26 06:40:00.0000000
678;Coleman;Frances;Female;Sachet de sucre vanillé;Sucrerie;500;2022-11-26 21:16:00.0000000
679;Zulu;Sibongile;Female;Rillettes de thon au piment d'Espelette;Charcuterie;1500;2022-09-16 17:35:00.0000000
680;Ibrahim;Fatimah;Female;Déodorant bille fraîcheur Nivea;Produits d'hygiène;800;2022-03-19 13:58:00.0000000
681;Boateng;Adjoa;Female;Boîte de kleenex;Hygiène;1000;2022-07-25 05:36:00.0000000
682;Bonsu;Kwesi;Male;Jambon des Ardennes;Charcuterie;2000;2022-04-02 01:06:00.0000000
683;Nelson;Edward;Male;Gel nettoyant visage doux Nivea;Produits de soin pour le visage;1800;2022-01-19 17:58:00.0000000
684;Amponsah;Kwaku;Female;Boîte de mouchoirs en papier Tempo;Hygiène;750;2022-10-20 11:03:00.0000000
685;Richardson;Joseph;Male;Saucisson de Lyon;Charcuterie;1400;2022-03-22 20:40:00.0000000
686;Reed;Justin;Male;Terrine de sanglier;Charcuterie;1700;2022-10-07 23:47:00.0000000
687;Richardson;Carter;Male;Crème réparatrice pour les pieds Scholl;Produits de soin pour les pieds;1500;2022-07-01 05:22:00.0000000
688;Cooper;Carolyn;Female;Déodorant spray sans gaz propulseur Nivea;Produits d'hygiène;800;2022-03-17 06:06:00.0000000
689;Collins;Roy;Male;Terrine de chevreuil;Charcuterie;1700;2022-10-10 23:31:00.0000000
690;Nkrumah;Jabari;Male;Pâté de perdreau;Charcuterie;1800;2022-02-01 15:57:00.0000000
691;Murphy;Jesse;Male;Shampooing anti-pelliculaire Head & Shoulders;Produits de soin capillaire;1500;2022-04-28 08:35:00.0000000
692;Diop;Sekou;Male;Déodorant bille fraîcheur Nivea;Produits d'hygiène;800;2022-08-01 07:00:00.0000000
693;Coleman;Billy;Male;Lingettes rafraîchissantes pour le visage Nivea;Produits de démaquillage;800;2022-02-12 17:14:00.0000000
694;Turner;Stephanie;Female;Bouteille de Jack Daniel;Liqueur;5000;2022-07-24 14:52:00.0000000
695;Maalouf;Mohammed;Male;Bouteille d'eau minérale Cristaline;Eau;500;2022-10-03 15:44:00.0000000
696;Ndlovu;Tariq;Male;Terrine de faisan;Charcuterie;1700;2022-04-13 23:24:00.0000000
697;Morris;Victoria;Female;Pot de pâte à tartiner Nutella;Sucrerie;2000;2022-01-23 05:10:00.0000000
698;Gonzalez;Charlotte;Female;Paquet de riz long grain;Alimentation;1000;2022-01-28 10:54:00.0000000
699;Traoré;Bintou;Female;Rillettes de saumon;Charcuterie;1500;2022-02-08 10:10:00.0000000
700;Taylor;Mason;Male;Gel douche exfoliant au sel marin Neutrogena;Produits de douche;1200;2022-02-12 12:52:00.0000000
701;King;Harper;Female;Sachet de riz Mama Africa;Alimentation;2000;2022-01-19 02:47:00.0000000
702;Keita;Fatima;Female;Saucisson à la truffe;Charcuterie;1400;2022-03-26 04:39:00.0000000
703;Cissé;Aminata;Female;Crème hydratante Nivea;Produits de soin pour le corps;1000;2022-10-25 18:27:00.0000000
704;Scott;Margaret;Female;Rillettes de thon au citron;Charcuterie;1500;2022-12-28 23:54:00.0000000
705;Abubakar;Musa;Male;Crème solaire peaux sensibles Avène;Produits de protection solaire;2000;2022-07-09 05:20:00.0000000
706;Diop;Jumaane;Male;Crème réparatrice pour les mains Neutrogena;Produits de soin pour les mains;1000;2022-07-09 18:08:00.0000000
707;Cox;Cameron;Male;Pâté de foie;Charcuterie;1100;2022-09-21 20:55:00.0000000
708;Bonsu;Osei;Male;Pâté de lièvre;Charcuterie;1800;2022-09-13 13:04:00.0000000
709;Abubakar;Musa;Male;Paquet de chips Tortilla;Snack;1000;2022-05-28 07:10:00.0000000
710;Bello;Idris;Male;Lotion pour le corps Dove;Produits de soin pour le corps;1200;2022-04-21 12:05:00.0000000
711;Torres;Jason;Male;Terrine de lapin;Charcuterie;1600;2022-07-28 20:03:00.0000000
712;Anang;Kwesi;Male;Sachet de sel iodé;Condiment;500;2022-04-21 16:30:00.0000000
713;Nwadike;Ngozi;Female;Baume hydratant pour les mains Mixa;Produits de soin pour les mains;1000;2022-04-11 06:28:00.0000000
714;Bryant;Janet;Female;Baume après-rasage hydratant Nivea;Produits de rasage;700;2022-10-15 05:38:00.0000000
715;Parker;Wanda;Female;Déodorant sans aluminium Nivea;Produits d'hygiène;800;2022-03-11 11:51:00.0000000
716;Camara;Fanta;Female;Shampooing anti-chute Vichy;Produits de soin capillaire;1800;2022-08-04 08:56:00.0000000
717;Coleman;Faith;Female;Saucisse de porc;Charcuterie;1600;2022-04-15 03:46:00.0000000
718;Camara;Fanta;Female;Rillettes de canard au poivre vert;Charcuterie;1500;2022-12-23 05:24:00.0000000
719;Diallo;Fanta;Female;Dentifrice bio blanchissant Lavera;Produits d'hygiène dentaire;500;2022-04-15 06:26:00.0000000
720;Johnson;Alex;Male;Lingettes démaquillantes réutilisables Garnier;Produits de démaquillage;800;2022-09-22 02:43:00.0000000
721;Ross;Allison;Female;Sac de riz Basmati;Alimentation;4000;2022-01-30 14:23:00.0000000
722;Bah;Nabila;Female;Paquet de lentilles;Alimentation;750;2022-03-13 18:58:00.0000000
723;Chukwu;Obinna;Male;Gel nettoyant visage La Roche-Posay;Produits de soin pour le visage;1800;2022-08-11 05:52:00.0000000
724;Reed;Stella;Female;Saucisse sèche;Charcuterie;1700;2022-04-18 22:27:00.0000000
725;Davis;Sophia;Female;Déodorant Rexona;Produits d'hygiène;800;2022-03-25 17:27:00.0000000
726;Lopez;Vincent;Male;Démaquillant bi-phasé waterproof Nivea;Produits de démaquillage;1200;2022-03-11 06:27:00.0000000
727;Mohammed;Fatimah;Female;Pot de pâte à tartiner Nutella;Sucrerie;2000;2022-02-11 06:44:00.0000000
728;Bello;Aminata;Female;Jambon des Ardennes;Charcuterie;2000;2022-09-25 19:06:00.0000000
729;Scott;Alexis;Female;Lotion hydratante pour le visage Nivea;Produits de soin pour le visage;1200;2022-09-16 05:04:00.0000000
730;Brown;Jessica;Female;Rillettes d'oie;Charcuterie;1500;2022-09-08 18:49:00.0000000
731;Dlamini;Nkosi;Male;Lingettes démaquillantes apaisantes Nivea;Produits de démaquillage;800;2022-12-01 09:31:00.0000000
732;Lopez;Angela;Female;Crème raffermissante pour le corps Garnier;Produits de soin pour le corps;2000;2022-07-06 04:56:00.0000000
733;Kelly;Marie;Female;Sac de pommes de terre;Légumes;1000;2022-06-07 01:19:00.0000000
734;Martinez;Heather;Female;Saucisson à la figue;Charcuterie;1600;2022-04-26 05:54:00.0000000
735;Lewis;Daniel;Male;Sac de croquettes pour chien Pedigree;Animaux;2000;2022-01-28 14:25:00.0000000
736;Kamara;Nadia;Female;Jambon de Bayonne;Charcuterie;1900;2022-07-16 03:26:00.0000000
737;Thomas;Barbara;Female;Shampooing volumisant Schwarzkopf;Produits de soin capillaire;1800;2023-06-09 08:10:00.0000000
738;Perez;Grayson;Male;Jambon des Ardennes;Charcuterie;2000;2023-10-14 21:21:00.0000000
739;King;Harper;Female;Saucisse de veau;Charcuterie;1600;2023-06-26 14:59:00.0000000
740;Diallo;Nadia;Female;Gel nettoyant visage purifiant Neutrogena;Produits de soin pour le visage;1800;2023-11-05 10:08:00.0000000
741;Mohammed;Yaa;Female;Dentifrice Signal;Produits d'hygiène dentaire;500;2023-11-21 04:14:00.0000000
742;Anang;Kwesi;Male;Saucisse de Strasbourg;Charcuterie;1600;2023-11-16 00:06:00.0000000
743;Cox;Ryan;Male;Soin hydratant matifiant Vichy;Produits de soin pour le visage;2500;2023-07-25 16:50:00.0000000
744;Nnamdi;Emeka;Male;Sachet de chips au fromage;Snack;1000;2023-10-28 16:23:00.0000000
745;Mohammed;Yaa;Female;Jambon de Paris;Charcuterie;1400;2023-05-23 14:59:00.0000000
746;Traoré;Bintou;Female;Démaquillant yeux bi-phasé waterproof L'Oréal;Produits de démaquillage;1200;2023-11-06 12:06:00.0000000
747;Henderson;Sara;Female;Gel douche Nivea;Produits de douche;1200;2023-12-19 14:25:00.0000000
748;Camara;Oumar;Male;Sachet de popcorn;Snack;500;2023-12-20 08:18:00.0000000
749;Traoré;Bintou;Female;Terrine de pintade;Charcuterie;1600;2023-05-23 19:21:00.0000000
750;Garcia;Julia;Male;Pot de confiture de fraises;Condiment;1000;2023-05-29 13:50:00.0000000
751;Allen;Hunter;Male;Bouteille de jus de pomme;Jus;1500;2023-08-15 15:44:00.0000000
752;Taylor;Sarah;Female;Gel coiffant effet mouillé Schwarzkopf;Produits de coiffure;1500;2023-07-05 23:13:00.0000000
753;Diagne;Fatoumata;Female;Shampooing volumateur Timotei;Produits de soin capillaire;1500;2023-06-30 17:53:00.0000000
754;Asante;Yaa;Female;Boîte de thé matcha;Thé;1500;2023-03-04 23:28:00.0000000
755;Morris;Alyssa;Female;Dentifrice bio blanchissant Lavera;Produits d'hygiène dentaire;500;2023-12-03 13:52:00.0000000
756;Morris;Frank;Male;Crème pour les pieds à l'urée Scholl;Produits de soin pour les pieds;1500;2023-11-11 08:09:00.0000000
757;Martinez;Jennifer;Female;Sac de pommes de terre;Légumes;1000;2023-06-21 20:00:00.0000000
758;Lopez;Amelia;Female;Gel douche relaxant L'Occitane;Produits de douche;1200;2023-07-16 06:42:00.0000000
759;Diop;Emeka;Male;Sachet de mélange d'épices pour tajine;Condiment;750;2023-07-30 23:29:00.0000000
760;Sise;Omaru;Male;Rillettes de poisson;Charcuterie;1300;2023-05-21 22:04:00.0000000
761;Bah;Fanta;Female;Bouteille d'eau minérale Cristaline;Eau;500;2023-03-05 00:20:00.0000000
762;Patterson;Willard;Male;Pâté de faisan;Charcuterie;1800;2023-12-11 17:45:00.0000000
763;Taylor;Mary;Female;Jambon de la Vallée d'Aoste;Charcuterie;2000;2023-04-29 16:39:00.0000000
764;King;Mila;Female;Sachet de feuilles de thé;Thé;500;2023-06-10 12:38:00.0000000
765;Asante;Yaa;Female;Sachet de grains de café arabica;Café;1000;2023-01-08 00:28:00.0000000
766;Diop;Emeka;Male;Paquet de pâtes Barilla;Alimentation;1000;2023-03-03 03:13:00.0000000
767;Howard;Emily;Female;Crème pour les pieds Scholl;Produits de soin pour les pieds;1500;2023-09-24 07:56:00.0000000
768;Asante;Yaa;Female;Sachet de grains de café arabica;Café;1000;2023-12-04 10:03:00.0000000
769;Jones;Daniel;Male;Poulet entier fermier;Viande;3000;2023-05-27 10:59:00.0000000
770;Bah;Nabila;Female;Lotion apaisante après-rasage Nivea;Produits de rasage;700;2023-06-27 05:55:00.0000000
771;Adams;Justin;Male;Crème solaire peaux sensibles Avène;Produits de protection solaire;2000;2023-07-17 23:23:00.0000000
772;Price;Scarlett;Female;Gel douche hydratant Dove;Produits de douche;1200;2023-05-29 04:26:00.0000000
773;Camara;Oumar;Male;Saucisse de Strasbourg;Charcuterie;1700;2023-10-10 05:44:00.0000000
774;Morris;Joan;Female;Saucisson sec;Charcuterie;1500;2023-01-16 00:56:00.0000000
775;Keita;Fatima;Female;Terrine de faisan;Charcuterie;1700;2023-11-04 02:32:00.0000000
776;Rivera;Kevin;Male;Crème raffermissante pour le corps Garnier;Produits de soin pour le corps;2000;2023-05-17 02:57:00.0000000
777;Richardson;Carter;Male;Crème réparatrice pour les mains Neutrogena;Produits de soin pour les mains;1000;2023-02-10 09:20:00.0000000
778;Abubakar;Aisha;Female;Crème réparatrice pour les pieds Scholl;Produits de soin pour les pieds;1500;2023-08-18 15:42:00.0000000
779;Wilson;Hudson;Male;Bouteille de jus d'orange Jafpp;Jus;1500;2023-08-18 20:26:00.0000000
780;Okonkwo;Chinwe;Male;Pain de savon Lux;Hygiène;500;2023-06-18 05:01:00.0000000
781;Nnamdi;Emeka;Male;Sac de farine de blé;Alimentation;1500;2023-11-23 15:15:00.0000000
782;Lopez;Amelia;Female;Shampooing fortifiant L'Oréal;Produits de soin capillaire;1800;2023-06-10 16:20:00.0000000
783;Foster;Vanessa;Female;Sachet de thé Lipton;Thé;500;2023-11-11 14:05:00.0000000
784;Adekunle;Femi;Male;Shampooing hydratant Pantene;Produits de soin capillaire;1500;2023-09-27 03:26:00.0000000
785;Bonsu;Kwesi;Male;Barre de chocolat Milka;Chocolat;750;2023-06-13 20:42:00.0000000
786;Traoré;Bintou;Female;Paquet de chips Tortilla;Snack;1000;2023-12-17 23:33:00.0000000
787;Simmons;Harold;Male;Rillettes de truite;Charcuterie;1500;2023-08-08 01:09:00.0000000
788;Parker;Charles;Male;Andouille;Charcuterie;1600;2023-12-14 13:24:00.0000000
789;Green;Adrian;Male;Lotion purifiante pour le visage L'Oréal;Produits de soin pour le visage;1200;2023-11-23 10:44:00.0000000
790;Brown;Noah;Male;Bouteille de jus de pomme;Jus;1500;2023-04-27 07:07:00.0000000
791;James;Steven;Male;Gel douche nourrissant à l'huile d'amande Neutrogena;Produits de douche;1200;2023-07-06 14:04:00.0000000
792;Boateng;Adjoa;Female;Lingettes rafraîchissantes pour le visage Nivea;Produits de démaquillage;800;2023-01-28 05:13:00.0000000
793;Roberts;Christina;Female;Déodorant roll-on sans alcool Nivea;Produits d'hygiène;800;2023-01-21 03:29:00.0000000
794;Bello;Aminata;Female;Pot de pâte à tartiner Nutella;Sucrerie;2000;2023-01-15 06:24:00.0000000
795;Alexander;Samuel;Male;Pot de moutarde;Condiment;500;2023-12-26 17:38:00.0000000
796;Jalloh;Jelani;Male;Crème apaisante après-soleil Nivea;Produits de protection solaire;2000;2023-05-24 11:22:00.0000000
797;Nkrumah;Fatima;Female;Shampooing hydratant Pantene;Produits de soin capillaire;1500;2023-10-04 16:16:00.0000000
798;Thompson;Anna;Female;Pâté de volaille;Charcuterie;1200;2023-07-05 10:52:00.0000000
799;Sise;Omaru;Male;Masque purifiant à l'argile L'Oréal;Produits de soin pour le visage;1800;2023-10-09 13:26:00.0000000
800;Eze;Nneka;Female;Bouteille de jus d'orange Jafpp;Jus;1500;2023-10-31 22:32:00.0000000
801;Lopez;Jasmine;Female;Soin anti-âge global pour le visage L'Oréal;Produits de soin pour le visage;2500;2023-06-22 13:23:00.0000000
802;Nnamdi;Emeka;Male;Rillettes de thon à l'huile d'olive;Charcuterie;1500;2023-01-15 20:52:00.0000000
803;Johnson;Emily;Female;Pâté de lièvre;Charcuterie;1800;2023-11-26 02:23:00.0000000
804;Adewale;Chiamaka;Female;Démaquillant pour les yeux Nivea;Produits de démaquillage;1200;2023-11-08 05:41:00.0000000
805;Harris;James;Male;Sachet de lessive Skip;Hygiène;750;2023-03-14 15:15:00.0000000
806;King;Aaron;Male;Terrine de sanglier;Charcuterie;1700;2023-08-29 06:06:00.0000000
807;Camara;Fanta;Female;Bouteille de shampoing Head & Shoulders;Hygiène;1500;2023-05-31 10:38:00.0000000
808;Coleman;Frances;Female;Terrine de biche;Charcuterie;1700;2023-12-23 02:32:00.0000000
809;Perry;Jimmy;Male;Sachet de grains de café arabica;Café;1000;2023-08-07 04:10:00.0000000
810;Abubakar;Nneka;Female;Pâté de chevreuil;Charcuterie;1800;2023-01-12 02:32:00.0000000
811;Collins;Juan;Male;Jambon des Ardennes;Charcuterie;2000;2023-09-20 01:50:00.0000000
812;Traoré;Bintou;Female;Lotion pour le corps Dove;Produits de soin pour le corps;1200;2023-10-04 10:25:00.0000000
813;Price;Scarlett;Female;Pâté de foie;Charcuterie;1100;2023-11-17 18:33:00.0000000
814;Kamara;Nadia;Female;Paquet de biscuits au chocolat;Biscuits;1000;2023-03-13 18:07:00.0000000
815;Baker;Sandra;Female;Lingettes démaquillantes Nivea;Produits de démaquillage;800;2023-08-31 02:09:00.0000000
816;Walker;Christina;Female;Boîte de kleenex;Hygiène;1000;2023-01-17 06:36:00.0000000
817;Reed;Phillip;Male;Gel coiffant effet mat Axe;Produits de coiffure;1500;2023-08-26 06:08:00.0000000
818;Diop;Jumaane;Male;Pâté de foie;Charcuterie;1100;2023-11-23 07:12:00.0000000
819;Eze;Chukwudi;Male;Gel douche relaxant L'Occitane;Produits de douche;1200;2023-12-11 10:29:00.0000000
820;Garcia;Julia;Male;Pot de miel;Condiment;1000;2023-12-19 09:34:00.0000000
821;Johnson;Alex;Male;Sachet de popcorn;Snack;500;2023-09-22 01:01:00.0000000
822;Onyeama;Ngozi;Female;Gel douche exfoliant Nivea;Produits de douche;1200;2023-07-03 10:50:00.0000000
823;Oumar;Sanaa;Female;Shampooing anti-pelliculaire Vichy;Produits de soin capillaire;1500;2023-01-22 20:22:00.0000000
824;Jane;Akafo;Female;Saucisson à la truffe;Charcuterie;1400;2023-01-04 01:27:00.0000000
825;Oumar;Sanaa;Female;Jambon de la Dombes;Charcuterie;2000;2023-11-26 01:47:00.0000000
826;Asante;Kwame;Male;Pot de confiture de fraises;Condiment;1000;2023-09-14 08:25:00.0000000
827;Nwachukwu;Chinelo;Female;Saucisse au poivre;Charcuterie;1600;2023-07-07 19:25:00.0000000
828;Johnson;Alex;Male;Jambon de Montagne Noire;Charcuterie;2000;2023-02-08 21:41:00.0000000
829;Diop;Jumaane;Male;Gel coiffant effet brillant Schwarzkopf;Produits de coiffure;1500;2023-08-06 14:16:00.0000000
830;Kelly;Laura;Female;Baume à lèvres Labello;Produits de soin des lèvres;700;2023-12-18 16:07:00.0000000
831;Toure;Sekou;Male;Jambon d'Auvergne;Charcuterie;2000;2023-04-16 22:32:00.0000000
832;Ibrahim;Fatimah;Female;Rillettes de dinde;Charcuterie;1300;2023-02-26 06:23:00.0000000
833;Mitchell;Anna;Female;Sachet de lait en poudre Nido;Lait;1500;2023-05-16 21:42:00.0000000
834;Mensah;Osei;Male;Sachet de sel iodé;Condiment;500;2023-02-15 06:46:00.0000000
835;Nkrumah;Fatima;Female;Lotion tonique adoucissante Garnier;Produits de soin pour le visage;1200;2023-02-03 09:09:00.0000000
836;Foster;Luke;Male;Déodorant roll-on sans alcool Nivea;Produits d'hygiène;800;2023-08-11 04:19:00.0000000
837;Zulu;Sibongile;Female;Jambon du Bourbonnais;Charcuterie;2000;2023-07-23 08:57:00.0000000
838;Foster;Vanessa;Female;Bouteille de shampoing Head & Shoulders;Hygiène;1500;2023-07-01 09:46:00.0000000
839;Mensah;Kwadwo;Male;Shampooing volumisant Schwarzkopf;Produits de soin capillaire;1800;2023-02-27 08:13:00.0000000
840;Azikiwe;Amina;Female;Lingettes démaquillantes apaisantes Nivea;Produits de démaquillage;800;2023-09-18 21:11:00.0000000
841;Ba;Adama;Female;Sachet de levure chimique;Condiment;500;2023-01-05 16:21:00.0000000
842;Oumar;Sanaa;Female;Crème anti-rides Nivea;Produits de soin pour le visage;2500;2023-10-18 14:17:00.0000000
843;Enrick;John;Male;Saucisse de Strasbourg;Charcuterie;1700;2023-02-01 19:43:00.0000000
844;Diallo;Fanta;Female;Saucisse de volaille;Charcuterie;1600;2023-01-29 13:57:00.0000000
845;Stewart;Christopher;Male;Lotion anti-âge pour le visage L'Oréal;Produits de soin pour le visage;1200;2023-06-08 14:21:00.0000000
846;Chukwu;Obinna;Male;Rillettes de lapin;Charcuterie;1300;2023-07-01 21:25:00.0000000
847;Jones;Liam;Male;Pot de moutarde;Condiment;500;2023-06-07 15:27:00.0000000
848;Diop;Fatoumata;Female;Bouteille de lait frais Lactel;Lait;1000;2023-10-19 18:49:00.0000000
849;Cox;Aria;Female;Pâté de chevreuil;Charcuterie;1800;2023-06-04 01:50:00.0000000
850;Bennett;Albert;Male;Crème pour les pieds à l'urée Scholl;Produits de soin pour les pieds;1500;2023-01-21 07:27:00.0000000
851;Lopez;Amelia;Female;Jambon des Ardennes;Charcuterie;2000;2023-05-21 11:25:00.0000000
852;Thomas;Barbara;Female;Spray corporel Axe;Produits de soin pour le corps;800;2023-06-03 02:53:00.0000000
853;Asante;Yaa;Female;Rillettes de thon au piment d'Espelette;Charcuterie;1500;2023-08-18 09:45:00.0000000
854;Zulu;Sibongile;Female;Crème de jour anti-rides Nivea;Produits de soin pour le visage;1200;2023-06-11 06:48:00.0000000
855;Wright;Sebastian;Male;Sachet de grains de café arabica;Café;1000;2023-10-28 01:40:00.0000000
856;Flores;Lindsey;Female;Crème de jour hydratante Nivea;Produits de soin pour le visage;1200;2023-06-04 00:51:00.0000000
857;Smith;John;Male;Dentifrice bio blanchissant Lavera;Produits d'hygiène dentaire;500;2023-02-07 06:10:00.0000000
858;Coleman;Frances;Female;Coppa;Charcuterie;1600;2023-05-07 19:21:00.0000000
859;Taylor;Claire;Female;Bouteille de jus de pomme;Jus;1500;2023-03-22 11:37:00.0000000
860;Richardson;Carter;Male;Gel douche nourrissant Dove;Produits de douche;1200;2023-01-20 20:34:00.0000000
861;Mohammed;Yaa;Female;Rillettes de thon au basilic;Charcuterie;1500;2023-10-10 00:02:00.0000000
862;Diaz;Juan;Male;Pâté de marcassin;Charcuterie;1900;2023-10-07 22:31:00.0000000
863;Nwachukwu;Chinelo;Female;Boîte de haricots verts en conserve;Condiment;750;2023-10-02 06:17:00.0000000
864;Okoro;Uzoma;Male;Rillettes de thon au piment d'Espelette;Charcuterie;1500;2023-04-13 01:46:00.0000000
865;Tetteh;Jabari;Male;Pâté de lapin aux herbes de Provence;Charcuterie;1800;2023-03-09 07:10:00.0000000
866;Bah;Saidou;Male;Saucisson à l'Armagnac;Charcuterie;1400;2023-03-22 10:46:00.0000000
867;Rivera;Benjamin;Male;Sac de croquettes pour chat Whiskas;Animaux;1500;2023-11-23 13:37:00.0000000
868;Nwadike;Ngozi;Female;Paquet de biscottes;Biscuits;750;2023-05-22 23:06:00.0000000
869;Diallo;Mamadou;Male;Dentifrice protection gencives Parodontax;Produits d'hygiène dentaire;500;2023-05-24 10:25:00.0000000
870;Tetteh;Jabari;Male;Gel nettoyant visage purifiant L'Oréal;Produits de soin pour le visage;1800;2023-05-21 00:20:00.0000000
871;Williams;David;Male;Crème de nuit régénérante L'Oréal;Produits de soin pour le visage;1200;2023-10-08 03:42:00.0000000
872;Garcia;Ashley;Female;Crème raffermissante pour le corps Garnier;Produits de soin pour le corps;2000;2023-11-04 07:57:00.0000000
873;Murphy;Owen;Male;Boîte de mouchoirs en papier Lotus;Hygiène;1000;2023-04-06 05:32:00.0000000
874;Harris;Karen;Female;Paquet de popcorn sucré;Snack;750;2023-06-07 08:27:00.0000000
875;Moore;William;Male;Crème de jour anti-rides Nivea;Produits de soin pour le visage;1200;2023-02-09 00:05:00.0000000
876;Hughes;Roger;Male;Sachet de sucre Daddy;Sucrerie;500;2023-05-14 23:33:00.0000000
877;Bonsu;Kwesi;Male;Jambon de Bayonne;Charcuterie;1900;2023-12-22 02:44:00.0000000
878;Traoré;Sadia;Female;Crème pour les mains Neutrogena;Produits de soin pour les mains;1000;2023-10-31 01:23:00.0000000
879;Harris;Karen;Female;Pâté de lièvre;Charcuterie;1800;2023-05-12 23:34:00.0000000
880;Balogun;Babatunde;Male;Pâté de marcassin;Charcuterie;1900;2023-05-14 01:29:00.0000000
881;Camara;Fatou;Female;Saucisse sèche;Charcuterie;1700;2023-04-19 13:42:00.0000000
882;Nelson;Derek;Male;Jambon de la Forêt de Marly;Charcuterie;2000;2023-02-13 14:58:00.0000000
883;Okoro;Uzoma;Male;Crème solaire Nivea;Produits de protection solaire;2000;2023-10-09 21:46:00.0000000
884;Mensah;Osei;Male;Saucisson de Lyon;Charcuterie;1400;2023-02-11 17:23:00.0000000
885;Adeleke;Tunde;Male;Crème anti-rides Nivea;Produits de soin pour le visage;2500;2023-09-10 21:01:00.0000000
886;Boateng;Adjoa;Female;Saucisson au genièvre;Charcuterie;1400;2023-04-04 16:04:00.0000000
887;Diop;Sekou;Male;Sac de croquettes pour chien Pedigree;Animaux;2000;2023-10-21 22:22:00.0000000
888;Adekunle;Lamidi;Male;Crème réparatrice Cicabiafine;Produits de soin pour le corps;1500;2023-05-01 06:26:00.0000000
889;Nwadike;Ngozi;Female;Saucisson à la noisette;Charcuterie;1700;2023-03-25 08:09:00.0000000
890;Chukwu;Obinna;Male;Baume réparateur pour les mains Biafine;Produits de soin pour les mains;1000;2023-03-02 00:44:00.0000000
891;Parker;Wanda;Female;Baume hydratant pour les mains Mixa;Produits de soin pour les mains;1000;2023-11-28 11:58:00.0000000
892;Baker;Eli;Male;Pain de savon Lux;Hygiène;500;2023-01-25 07:16:00.0000000
893;Keita;Kwadwo;Male;Déodorant sans aluminium Nivea;Produits d'hygiène;800;2023-04-19 03:03:00.0000000
894;Eze;Ngozi;Female;Jambon blanc;Charcuterie;1000;2023-02-16 23:37:00.0000000
895;Abubakar;Aisha;Female;Gel douche Nivea;Produits de douche;1200;2023-09-11 02:09:00.0000000
896;Okafor;Amaechi;Female;Pâté de porc;Charcuterie;1200;2023-09-06 10:16:00.0000000
897;Green;Adrian;Male;Saucisson à la mirabelle;Charcuterie;1400;2023-11-13 13:14:00.0000000
898;Jalloh;Saidi;Male;Pâté de lapin aux herbes de Provence;Charcuterie;1800;2023-06-21 15:45:00.0000000
